contract_id,contract_version,symbol,trading_date,leg,reference_session,reference_valid,reason_code,efficiency_ratio,session_type,sweep_evaluated,sweep_qualified,setup_type,entry_engine,direction,entry_status,ticket_status,fill_status,result_status,sweep_candidate_index,sweep_candidate_time,sweep_side,sweep_prior_level,sweep_extreme,sweep_close
SESSION_FLOW_V2_SIMPLE,2.1-simple,GBPUSD,2022-10-07,POST_LONDON,LONDON,True,CLASSIFIED,0.26969696969696627,RANGE,True,True,SWEEP,ENTRY_2,SHORT,SWEEP_ENTRY_SPEC_BLOCKED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,6,2022-10-07T08:30:00+00:00,HIGH,1.12169,1.12192,1.121
SESSION_FLOW_V2_SIMPLE,2.1-simple,GBPUSD,2022-10-10,POST_ASIAN,ASIAN,True,CLASSIFIED,0.0007987220447248011,RANGE,True,True,SWEEP,ENTRY_2,LONG,SWEEP_ENTRY_SPEC_BLOCKED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,1,2022-10-10T00:15:00+00:00,LOW,1.10644,1.10605,1.10652
SESSION_FLOW_V2_SIMPLE,2.1-simple,GBPUSD,2022-10-10,POST_LONDON,LONDON,True,CLASSIFIED,0.0017652250661976785,RANGE,True,True,SWEEP,ENTRY_2,SHORT,SWEEP_ENTRY_SPEC_BLOCKED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,1,2022-10-10T07:15:00+00:00,HIGH,1.11075,1.11107,1.11039
SESSION_FLOW_V2_SIMPLE,2.1-simple,GBPUSD,2022-10-11,POST_ASIAN,ASIAN,True,CLASSIFIED,0.20027017899357902,RANGE,True,True,SWEEP,ENTRY_2,SHORT,SWEEP_ENTRY_SPEC_BLOCKED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,2,2022-10-11T00:30:00+00:00,HIGH,1.10935,1.1095,1.10838
SESSION_FLOW_V2_SIMPLE,2.1-simple,GBPUSD,2022-10-11,POST_LONDON,LONDON,True,CLASSIFIED,0.35714285714287164,RANGE,True,True,SWEEP,ENTRY_2,SHORT,SWEEP_ENTRY_SPEC_BLOCKED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,1,2022-10-11T07:15:00+00:00,HIGH,1.10366,1.10459,1.10305
SESSION_FLOW_V2_SIMPLE,2.1-simple,GBPUSD,2022-10-12,POST_ASIAN,ASIAN,True,CLASSIFIED,0.021621621621623243,RANGE,True,True,SWEEP,ENTRY_2,SHORT,SWEEP_ENTRY_SPEC_BLOCKED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,3,2022-10-12T00:45:00+00:00,HIGH,1.09749,1.09852,1.09698
SESSION_FLOW_V2_SIMPLE,2.1-simple,GBPUSD,2022-10-12,POST_LONDON,LONDON,True,CLASSIFIED,0.17137809187279512,RANGE,True,True,SWEEP,ENTRY_2,SHORT,SWEEP_ENTRY_SPEC_BLOCKED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,1,2022-10-12T07:15:00+00:00,HIGH,1.10245,1.10337,1.09815
SESSION_FLOW_V2_SIMPLE,2.1-simple,GBPUSD,2022-10-13,POST_ASIAN,ASIAN,True,CLASSIFIED,0.06128863279203339,RANGE,True,True,SWEEP,ENTRY_2,LONG,SWEEP_ENTRY_SPEC_BLOCKED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,5,2022-10-13T01:15:00+00:00,LOW,1.10876,1.10873,1.10877
SESSION_FLOW_V2_SIMPLE,2.1-simple,GBPUSD,2022-10-13,POST_LONDON,LONDON,True,CLASSIFIED,0.6962831858407001,TREND,False,,TREND,ENTRY_1,LONG,ENTRY_1_CONTRACT_INCOMPLETE,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,,,,,,
SESSION_FLOW_V2_SIMPLE,2.1-simple,GBPUSD,2022-10-14,POST_ASIAN,ASIAN,True,CLASSIFIED,0.017067223963771742,RANGE,True,True,SWEEP,ENTRY_2,LONG,SWEEP_ENTRY_SPEC_BLOCKED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,1,2022-10-14T00:15:00+00:00,LOW,1.1295,1.12893,1.1301
